Rank,Company,Total revenue (US$ billion),Country
1,China Mobile,140.52,China
2,Verizon Communications,136.83,United States
3,Comcast,121.44,United States
4,AT&T,120.75,United States
5,Deutsche Telekom,120.76,Germany
6,Nippon Telegraph and Telephone,97.47,Japan
7,China Telecom,70.38,China
8,SoftBank,55.29,Japan
9,Charter Communications,54.01,United States
10,China Unicom,52.811,China
11,Vodafone,49.712,United Kingdom
12,Orange,45.713,France
13,América Móvil,43.614,Mexico
14,KDDI,42.715,Japan
15,Telefónica,42.016,Spain
16,BT Group,26.717,United Kingdom
17,China Communications Services,20.918,China
18,KT Corporation,19.919,South Korea
19,BCE,18.42,Canada
20,Saudi Telecom,18.021,Saudi Arabia
21,Lumen,17.522,United States
22,Gruppo TIM,17.223,Italy
23,Bharti Airtel,17.124,India
24,Telstra,15.425,Australia
25,SFR,14.626,France
26,Telus,14.327,Canada
27,Etisalat,14.228,United Arab Emirates
28,Jio,14.029,India
29,SK Telecom,13.43,South Korea
30,Virgin Media O2,12.831,United Kingdom
31,MTN Group,12.632,South Africa
32,Rogers Communications,11.833,Canada
33,Swisscom,11.634,Switzerland
34,Viettel,11.535,Vietnam
35,Cox Communications,11.036,United States
36,Singtel,10.937,Singapore
37,LG Uplus,10.838,South Korea
38,Vivendi,10.139,France
39,Telenor,10.14,Norway
40,Telkom Indonesia,9.841,Indonesia
41,Telia Company,8.942,Sweden
42,VEON,8.143,Netherlands
43,Vodacom,7.544,South Africa
44,Chunghwa Telecom,7.245,Taiwan
45,Bouygues Telecom,7.046,France
46,Crown Castle International,7.047,United States
47,Proximus,6.548,Belgium
48,Ooredoo,6.349,Qatar
49,Iliad S.A.,6.25,France
50,United Internet,6.251,Germany
51,Zain,6.052,Kuwait
52,Taiwan Mobile,5.953,Taiwan
53,Frontier Communications,5.854,United States
54,Windstream Holdings,5.755,United States
55,KPN,5.656,Netherlands
56,Optus,5.657,Australia
57,Millicom,5.658,Luxembourg
58,Mobile TeleSystems,5.659,Russia
59,Telephone and Data Systems,5.46,United States
60,Advanced Info Service,5.361,Thailand
61,Vi,5.262,India
62,A1 Telekom Austria Group,5.263,Austria
63,PLDT,3.764,Philippines
64,MegaFon,3.765,Russia
65,OTE,3.766,Greece
66,Du (company),3.667,United Arab Emirates
67,Telecom Argentina,3.468,Argentina
68,Turkcell,3.469,Turkey
69,Globe Telecom,3.37,Philippines
70,Türk Telekom,3.071,Turkey
71,Zayo Group,2.672,United States
72,Tata Communications,2.473,India
73,Telkom (South Africa),2.374,South Africa
74,Maxis Communications,2.175,Malaysia
75,Oi,2.076,Brazil
76,Altafiber,1.877,United States
77,StarHub,1.778,Singapore
78,Digi Communications,1.779,Romania
79,Granite Telecommunications,1.58,United States
80,GTT Communications,1.581,United States
81,IDT Corporation,1.482,United States
82,Eir,1.383,Ireland
83,Vocus Group,1.384,Australia
84,Consolidated Communications,1.285,United States
85,Algar Telecom,1.186,Brazil
86,Cable One,1.787,United States
87,Mediacom,1.188,United States
88,Vonage,1.089,United States
89,Cell C,1.09,South Africa
